type,issue,date,front1,front2,front3,front4,front5,back1,back2,sales,pool,firstPrizeCount,secondPrizeCount,source
dlt,26089,2026-08-08,3,7,12,14,26,5,11,,,,,17500
dlt,26088,2026-08-05,3,9,11,24,27,5,11,305815169,792266898,2,160,17500
dlt,26087,2026-08-03,5,10,16,24,27,4,10,306098479,768406558,9,172,17500
dlt,26086,2026-08-01,10,11,18,22,35,6,12,327985310,813207389,2,121,17500
dlt,26085,2026-07-29,3,4,14,28,31,5,7,302145325,804161465,2,94,17500
dlt,26084,2026-07-27,13,25,30,32,33,4,5,300483424,770490757,8,81,17500
dlt,26083,2026-07-25,14,15,16,23,26,7,9,316550987,772867559,8,135,17500
dlt,26082,2026-07-22,16,26,27,28,34,2,6,295623678,807119056,5,76,17500
dlt,26081,2026-07-20,8,16,18,24,34,9,12,301607097,784468403,5,125,17500
dlt,26080,2026-07-18,5,10,15,21,23,7,8,325550165,765513154,10,173,17500
dlt,26079,2026-07-15,6,8,23,26,27,5,12,301975334,794651243,5,111,17500
dlt,26078,2026-07-13,2,13,20,25,32,8,11,302935941,818797138,5,181,17500
dlt,26077,2026-07-11,4,14,19,24,27,6,7,318922356,797164073,2,141,17500
dlt,26076,2026-07-08,15,20,27,28,35,2,11,303115587,804904837,4,113,17500
dlt,26075,2026-07-06,1,6,16,18,26,4,10,295227167,814593833,3,89,17500
dlt,26074,2026-07-04,1,4,10,23,25,1,12,319733435,818314176,6,115,17500
dlt,26073,2026-07-01,4,10,22,23,33,2,12,306363724,798037522,6,129,17500
dlt,26072,2026-06-29,1,13,26,29,30,9,11,309759041,820383228,5,67,17500
dlt,26071,2026-06-27,5,13,22,26,32,2,3,332658791,844492276,1,179,17500
dlt,26070,2026-06-24,4,5,15,21,32,2,11,312722588,814894461,1,112,17500
dlt,26069,2026-06-22,12,19,21,24,29,3,10,312134107,757966457,8,98,17500
dlt,26068,2026-06-20,3,11,12,21,22,6,10,333899407,802145380,5,212,17500
dlt,26067,2026-06-17,6,16,18,19,28,7,11,322509643,791339917,6,158,17500
dlt,26066,2026-06-15,10,13,19,21,30,4,5,352461614,817519004,2,106,17500
dlt,26065,2026-06-13,4,11,12,13,25,4,8,361984211,802840285,6,189,17500
dlt,26064,2026-06-10,3,13,15,17,21,2,7,352495130,787631261,4,103,17500
dlt,26063,2026-06-08,3,15,20,29,31,1,12,353853854,762261291,5,79,17500
dlt,26062,2026-06-06,7,15,20,24,29,4,10,397538816,738675961,15,304,17500
dlt,26061,2026-06-03,10,12,26,31,35,2,12,354547009,807705563,4,114,17500
dlt,26060,2026-06-01,22,28,30,31,34,1,5,364299680,769160539,37,98,17500
dlt,26059,2026-05-30,6,13,17,19,26,7,8,373161795,818749861,3,269,17500
dlt,26058,2026-05-27,7,12,13,18,34,1,5,354634349,786536913,5,118,17500
dlt,26057,2026-05-25,23,25,26,27,34,4,10,341310042,801147297,4,158,17500
dlt,26056,2026-05-23,6,7,18,21,30,1,5,368991091,767589409,6,151,17500
dlt,26055,2026-05-20,9,10,20,33,35,4,11,348746645,757078646,4,83,17500
dlt,26054,2026-05-18,2,6,14,22,24,8,11,349381748,718927617,13,101,17500
dlt,26053,2026-05-16,2,9,14,20,31,5,9,374349995,738749152,14,133,17500
dlt,26052,2026-05-13,2,3,20,28,33,2,12,353399952,782179260,9,201,17500
dlt,26051,2026-05-11,13,18,28,32,33,2,11,355675446,799348751,4,135,17500
dlt,26050,2026-05-09,6,10,14,23,33,8,10,373660843,812279268,6,97,17500
dlt,26049,2026-05-06,1,6,14,15,17,2,3,298483726,786081563,6,69,17500
dlt,26048,2026-05-04,11,17,20,23,35,1,10,276914543,778139138,7,87,17500
dlt,26047,2026-05-02,9,20,21,23,28,6,11,301530437,776088008,5,97,17500
dlt,26046,2026-04-29,1,13,18,27,33,4,7,305905116,801117818,6,84,17500
