type,issue,strategy,line,numbers,evaluated,tier,prizeLabel,prizeYuan
ssq,2026073,random,1,3 4 15 16 20 22|8,0,0,,
ssq,2026073,random,2,2 7 14 17 23 25|2,0,0,,
ssq,2026073,random,3,5 13 15 17 19 31|1,0,0,,
ssq,2026073,random,4,1 3 4 6 14 32|9,0,0,,
ssq,2026073,random,5,1 2 10 14 16 30|14,0,0,,
ssq,2026073,balanced,1,2 12 15 19 22 29|5,0,0,,
ssq,2026073,balanced,2,5 11 13 18 28 30|12,0,0,,
ssq,2026073,balanced,3,1 14 18 20 25 29|2,0,0,,
ssq,2026073,balanced,4,3 7 12 17 22 28|9,0,0,,
ssq,2026073,balanced,5,6 8 13 15 17 26|6,0,0,,
ssq,2026073,data,1,4 13 15 17 25 32|2,0,0,,
ssq,2026073,data,2,6 13 19 20 22 24|9,0,0,,
ssq,2026073,data,3,1 2 6 8 23 33|12,0,0,,
ssq,2026073,data,4,6 11 12 13 17 25|6,0,0,,
ssq,2026073,data,5,9 18 19 24 25 30|14,0,0,,
ssq,2026073,theory,1,4 9 14 17 30 33|2,0,0,,
ssq,2026073,theory,2,1 3 5 12 14 30|2,0,0,,
ssq,2026073,theory,3,3 16 18 22 25 29|2,0,0,,
ssq,2026073,theory,4,4 7 9 13 24 26|2,0,0,,
ssq,2026073,theory,5,3 14 16 18 21 25|2,0,0,,
ssq,2026073,trend,1,1 6 9 14 22 30|10,0,0,,
ssq,2026073,trend,2,1 2 9 19 26 32|11,0,0,,
ssq,2026073,trend,3,1 2 8 19 22 25|1,0,0,,
ssq,2026073,trend,4,2 3 7 8 18 22|1,0,0,,
ssq,2026073,trend,5,2 9 17 22 26 27|4,0,0,,
ssq,2026072,random,1,2 4 11 16 17 28|11,1,0,未命中,0
ssq,2026072,random,2,4 7 18 22 23 26|8,1,0,未命中,0
ssq,2026072,random,3,2 3 6 13 29 32|14,1,0,未命中,0
ssq,2026072,random,4,3 5 7 10 19 32|13,1,0,未命中,0
